X,Y:Acc_TX-Body1-Model1(m/s^2),Y:Acc_TY-Body1-Model1(m/s^2),Y:Acc_TZ-Body1-Model1(m/s^2)
1.618253,1.0643457,-0.75599111,0
1.619253,1.0672151,-0.75489398,0
1.620253,1.0700959,-0.75378909,0
1.621253,1.072988,-0.75267624,0
1.622253,1.0758913,-0.75155526,0
1.623253,1.0788056,-0.75042597,0
1.624253,1.081731,-0.74928819,0
1.625253,1.0846673,-0.74814175,0
1.626253,1.0876144,-0.74698645,0
1.627253,1.0905721,-0.74582213,0
1.628253,1.0935405,-0.74464861,0
1.629253,1.0965194,-0.74346571,0
1.630253,1.0995088,-0.74227326,0
1.631253,1.1025084,-0.74107107,0
1.632253,1.1055183,-0.73985898,0
1.633253,1.1085383,-0.73863681,0
1.634253,1.1115683,-0.73740439,0
1.635253,1.1146082,-0.73616155,0
1.636253,1.117658,-0.7349081,0
1.637253,1.1207175,-0.73364389,0
1.638253,1.1237866,-0.73236873,0
1.639253,1.1268653,-0.73108246,0
1.640253,1.1299534,-0.7297849,0
1.641253,1.1330508,-0.72847589,0
1.642253,1.1361574,-0.72715525,0
1.643253,1.1392732,-0.72582283,0
1.644253,1.1423979,-0.72447844,0
1.645253,1.1455316,-0.72312192,0
1.646253,1.1486741,-0.7217531,0
1.647253,1.1518254,-0.72037182,0
1.648253,1.1549852,-0.71897791,0
1.649253,1.1581535,-0.71757121,0
1.650253,1.1613303,-0.71615154,0
1.651253,1.1645153,-0.71471875,0
1.652253,1.1677086,-0.71327266,0
1.653253,1.1709099,-0.71181313,0
1.654253,1.1741191,-0.71033997,0
1.655253,1.1773363,-0.70885304,0
1.656253,1.1805612,-0.70735216,0
1.657253,1.1837938,-0.70583718,0
1.658253,1.1870339,-0.70430794,0
1.659253,1.1902815,-0.70276427,0
1.660253,1.1935364,-0.70120601,0
1.661253,1.1967985,-0.69963301,0
1.662253,1.2000677,-0.69804511,0
1.663253,1.2033439,-0.69644214,0
1.664253,1.206627,-0.69482396,0
1.665253,1.2099169,-0.69319039,0
1.666253,1.2132134,-0.6915413,0
1.667253,1.2165164,-0.68987651,0
1.668253,1.2198259,-0.68819588,0
1.669253,1.2231417,-0.68649924,0
1.670253,1.2264638,-0.68478645,0
1.671253,1.2297919,-0.68305735,0
1.672253,1.2331259,-0.68131179,0
1.673253,1.2364658,-0.67954961,0
1.674253,1.2398115,-0.67777066,0
1.675253,1.2431627,-0.67597478,0
1.676253,1.2465195,-0.67416184,0
1.677253,1.2498816,-0.67233167,0
1.678253,1.253249,-0.67048413,0
1.679253,1.2566215,-0.66861907,0
1.680253,1.259999,-0.66673633,0
1.681253,1.2633814,-0.66483577,0
1.682253,1.2667685,-0.66291724,0
1.683253,1.2701603,-0.6609806,0
1.684253,1.2735566,-0.65902569,0
1.685253,1.2769573,-0.65705237,0
1.686253,1.2803622,-0.65506049,0
1.687253,1.2837713,-0.65304992,0
1.688253,1.2871844,-0.65102049,0
1.689253,1.2906013,-0.64897208,0
1.690253,1.294022,-0.64690453,0
1.691253,1.2974463,-0.64481771,0
1.692253,1.3008741,-0.64271147,0
1.693253,1.3043052,-0.64058566,0
1.694253,1.3077395,-0.63844016,0
1.695253,1.3111769,-0.63627481,0
1.696253,1.3146172,-0.63408948,0
1.697253,1.3180604,-0.63188403,0
1.698253,1.3215062,-0.62965832,0
1.699253,1.3249546,-0.6274122,0
1.700253,1.3284053,-0.62514556,0
1.701253,1.3318583,-0.62285824,0
1.702253,1.3353134,-0.62055011,0
1.703253,1.3387705,-0.61822103,0
1.704253,1.3422294,-0.61587088,0
1.705253,1.34569,-0.61349951,0
1.706253,1.3491521,-0.61110679,0
1.707253,1.3526157,-0.6086926,0
1.708253,1.3560804,-0.60625678,0
1.709253,1.3595463,-0.60379923,0
1.710253,1.3630131,-0.6013198,0
1.711253,1.3664807,-0.59881836,0
1.712253,1.369949,-0.59629478,0
1.713253,1.3734178,-0.59374894,0
1.714253,1.3768869,-0.59118071,0
1.715253,1.3803562,-0.58858995,0
1.716253,1.3838256,-0.58597655,0
1.717253,1.3872948,-0.58334037,0
1.718253,1.3907638,-0.58068129,0
1.719253,1.3942323,-0.57799919,0
1.720253,1.3977003,-0.57529394,0
1.721253,1.4011675,-0.57256542,0
1.722253,1.4046338,-0.5698135,0
1.723253,1.408099,-0.56703807,0
1.724253,1.411563,-0.564239,0
1.725253,1.4150256,-0.56141618,0
1.726253,1.4184866,-0.55856948,0
1.727253,1.4219459,-0.55569878,0
1.728253,1.4254033,-0.55280397,0
1.729253,1.4288587,-0.54988493,0
1.730253,1.4323118,-0.54694154,0
1.731253,1.4357625,-0.54397369,0
1.732253,1.4392106,-0.54098127,0
1.733253,1.4426559,-0.53796416,0
1.734253,1.4460984,-0.53492224,0
1.735253,1.4495377,-0.53185541,0
1.736253,1.4529738,-0.52876355,0
1.737253,1.4564064,-0.52564656,0
1.738253,1.4598354,-0.52250432,0
1.739253,1.4632605,-0.51933673,0
1.740253,1.4666817,-0.51614368,0
1.741253,1.4700987,-0.51292506,0
1.742253,1.4735113,-0.50968077,0
1.743253,1.4769194,-0.50641069,0
1.744253,1.4803227,-0.50311474,0
1.745253,1.4837212,-0.4997928,0
1.746253,1.4871145,-0.49644478,0
1.747253,1.4905025,-0.49307057,0
1.748253,1.4938851,-0.48967007,0
1.749253,1.4972619,-0.48624319,0
1.750253,1.5006329,-0.48278982,0
1.751253,1.5039978,-0.47930987,0
1.752253,1.5073565,-0.47580325,0
1.753253,1.5107087,-0.47226986,0
1.754253,1.5140542,-0.4687096,0
1.755253,1.5173929,-0.46512239,0
1.756253,1.5207245,-0.46150813,0
1.757253,1.5240489,-0.45786673,0
1.758253,1.5273658,-0.4541981,0
1.759253,1.530675,-0.45050216,0
1.760253,1.5339764,-0.44677882,0
1.761253,1.5372696,-0.44302799,0
1.762253,1.5405546,-0.43924959,0
1.763253,1.5438311,-0.43544354,0
1.764253,1.5470989,-0.43160975,0
1.765253,1.5503578,-0.42774814,0
1.766253,1.5536076,-0.42385863,0
1.767253,1.5568479,-0.41994115,0
1.768253,1.5600788,-0.41599562,0
1.769253,1.5632998,-0.41202196,0
1.770253,1.5665109,-0.40802009,0
1.771253,1.5697118,-0.40398996,0
1.772253,1.5729022,-0.39993147,0
1.773253,1.5760819,-0.39584457,0
1.774253,1.5792508,-0.39172918,0
1.775253,1.5824086,-0.38758524,0
1.776253,1.5855551,-0.38341268,0
1.777253,1.58869,-0.37921143,0
1.778253,1.5918131,-0.37498143,0
1.779253,1.5949242,-0.37072262,0
1.780253,1.5980231,-0.36643495,0
1.781253,1.6011094,-0.36211834,0
1.782253,1.6041831,-0.35777275,0
1.783253,1.6072439,-0.35339811,0
1.784253,1.6102915,-0.34899437,0
1.785253,1.6133257,-0.34456149,0
1.786253,1.6163462,-0.3400994,0
1.787253,1.6193528,-0.33560806,0
1.788253,1.6223454,-0.33108742,0
1.789253,1.6253235,-0.32653743,0
1.790253,1.6282871,-0.32195806,0
1.791253,1.6312358,-0.31734925,0
1.792253,1.6341694,-0.31271096,0
1.793253,1.6370877,-0.30804316,0
1.794253,1.6399904,-0.3033458,0
1.795253,1.6428773,-0.29861885,0
1.796253,1.6457481,-0.29386228,0
1.797253,1.6486025,-0.28907605,0
1.798253,1.6514404,-0.28426013,0
1.799253,1.6542615,-0.2794145,0
1.800253,1.6570654,-0.27453911,0
1.801253,1.6598521,-0.26963396,0
1.802253,1.6626211,-0.26469901,0
1.803253,1.6653723,-0.25973424,0
1.804253,1.6681054,-0.25473964,0
1.805253,1.6708201,-0.24971518,0
1.806253,1.6735162,-0.24466085,0
1.807253,1.6761934,-0.23957664,0
1.808253,1.6788515,-0.23446252,0
1.809253,1.6814902,-0.2293185,0
1.810253,1.6841092,-0.22414457,0
1.811253,1.6867083,-0.21894071,0
1.812253,1.6892872,-0.21370692,0
1.813253,1.6918456,-0.20844321,0
1.814253,1.6943833,-0.20314957,0
1.815253,1.6969,-0.197826,0
1.816253,1.6993955,-0.19247251,0
1.817253,1.7018694,-0.18708911,0
1.818253,1.7043215,-0.1816758,0
1.819253,1.7067516,-0.17623259,0
1.820253,1.7091593,-0.1707595,0
1.821253,1.7115444,-0.16525654,0
1.822253,1.7139066,-0.15972374,0
1.823253,1.7162456,-0.1541611,0
1.824253,1.7185612,-0.14856865,0
1.825253,1.7208531,-0.14294643,0
1.826253,1.723121,-0.13729444,0
1.827253,1.7253647,-0.13161273,0
