X:Vel_TX-Body2-Model1(m/s),Y:Vel_TX-Body2-Model1(m/s),Y:Vel_TY-Body2-Model1(m/s),Y:Vel_TZ-Body2-Model1(m/s)
0.087253000,-0.013193526,-0.60526134,0.0000000
0.088253000,-0.013652258,-0.61219027,0.0000000
0.089253000,-0.014121495,-0.61911874,0.0000000
0.090253000,-0.014601354,-0.62604674,0.0000000
0.091253000,-0.015091956,-0.63297425,0.0000000
0.092253000,-0.015593418,-0.63990125,0.0000000
0.093253000,-0.016105858,-0.64682774,0.0000000
0.094253000,-0.016629394,-0.65375368,0.0000000
0.095253000,-0.017164145,-0.66067907,0.0000000
0.096253000,-0.017710228,-0.66760389,0.0000000
0.097253000,-0.018267763,-0.67452811,0.0000000
0.098253000,-0.018836866,-0.68145172,0.0000000
0.099253000,-0.019417656,-0.68837470,0.0000000
0.10025300,-0.020010251,-0.69529704,0.0000000
0.10125300,-0.020614768,-0.70221870,0.0000000
0.10225300,-0.021231326,-0.70913967,0.0000000
0.10325300,-0.021860042,-0.71605994,0.0000000
0.10425300,-0.022501034,-0.72297947,0.0000000
0.10525300,-0.023154420,-0.72989825,0.0000000
0.10625300,-0.023820317,-0.73681626,0.0000000
0.10725300,-0.024498842,-0.74373347,0.0000000
0.10825300,-0.025190114,-0.75064986,0.0000000
0.10925300,-0.025894250,-0.75756541,0.0000000
0.11025300,-0.026611367,-0.76448009,0.0000000
0.11125300,-0.027341581,-0.77139388,0.0000000
0.11225300,-0.028085012,-0.77830676,0.0000000
0.11325300,-0.028841775,-0.78521870,0.0000000
0.11425300,-0.029611987,-0.79212968,0.0000000
0.11525300,-0.030395766,-0.79903967,0.0000000
0.11625300,-0.031193229,-0.80594864,0.0000000
0.11725300,-0.032004492,-0.81285657,0.0000000
0.11825300,-0.032829672,-0.81976343,0.0000000
0.11925300,-0.033668886,-0.82666919,0.0000000
0.12025300,-0.034522251,-0.83357382,0.0000000
0.12125300,-0.035389882,-0.84047731,0.0000000
0.12225300,-0.036271896,-0.84737961,0.0000000
0.12325300,-0.037168409,-0.85428070,0.0000000
0.12425300,-0.038079539,-0.86118054,0.0000000
0.12525300,-0.039005400,-0.86807912,0.0000000
0.12625300,-0.039946109,-0.87497639,0.0000000
0.12725300,-0.040901781,-0.88187233,0.0000000
0.12825300,-0.041872533,-0.88876690,0.0000000
0.12925300,-0.042858480,-0.89566007,0.0000000
0.13025300,-0.043859738,-0.90255181,0.0000000
0.13125300,-0.044876421,-0.90944209,0.0000000
0.13225300,-0.045908646,-0.91633087,0.0000000
0.13325300,-0.046956528,-0.92321811,0.0000000
0.13425300,-0.048020182,-0.93010379,0.0000000
0.13525300,-0.049099722,-0.93698787,0.0000000
0.13625300,-0.050195264,-0.94387030,0.0000000
0.13725300,-0.051306922,-0.95075106,0.0000000
0.13825300,-0.052434811,-0.95763010,0.0000000
0.13925300,-0.053579046,-0.96450740,0.0000000
0.14025300,-0.054739740,-0.97138291,0.0000000
0.14125300,-0.055917008,-0.97825659,0.0000000
0.14225300,-0.057110963,-0.98512840,0.0000000
0.14325300,-0.058321720,-0.99199831,0.0000000
0.14425300,-0.059549393,-0.99886628,0.0000000
0.14525300,-0.060794095,-1.0057323,0.0000000
0.14625300,-0.062055939,-1.0125962,0.0000000
0.14725300,-0.063335038,-1.0194581,0.0000000
0.14825300,-0.064631507,-1.0263178,0.0000000
0.14925300,-0.065945457,-1.0331755,0.0000000
0.15025300,-0.067277001,-1.0400309,0.0000000
0.15125300,-0.068626253,-1.0468840,0.0000000
0.15225300,-0.069993323,-1.0537349,0.0000000
0.15325300,-0.071378326,-1.0605835,0.0000000
0.15425300,-0.072781372,-1.0674296,0.0000000
0.15525300,-0.074202573,-1.0742734,0.0000000
0.15625300,-0.075642041,-1.0811146,0.0000000
0.15725300,-0.077099888,-1.0879534,0.0000000
0.15825300,-0.078576225,-1.0947896,0.0000000
0.15925300,-0.080071163,-1.1016231,0.0000000
0.16025300,-0.081584812,-1.1084540,0.0000000
0.16125300,-0.083117284,-1.1152822,0.0000000
0.16225300,-0.084668689,-1.1221076,0.0000000
0.16325300,-0.086239136,-1.1289302,0.0000000
0.16425300,-0.087828737,-1.1357499,0.0000000
0.16525300,-0.089437600,-1.1425667,0.0000000
0.16625300,-0.091065836,-1.1493805,0.0000000
0.16725300,-0.092713553,-1.1561913,0.0000000
0.16825300,-0.094380861,-1.1629990,0.0000000
0.16925300,-0.096067868,-1.1698035,0.0000000
0.17025300,-0.097774683,-1.1766049,0.0000000
0.17125300,-0.099501415,-1.1834030,0.0000000
0.17225300,-0.10124817,-1.1901978,0.0000000
0.17325300,-0.10301506,-1.1969892,0.0000000
0.17425300,-0.10480219,-1.2037772,0.0000000
0.17525300,-0.10660966,-1.2105617,0.0000000
0.17625300,-0.10843759,-1.2173427,0.0000000
0.17725300,-0.11028608,-1.2241201,0.0000000
0.17825300,-0.11215523,-1.2308938,0.0000000
0.17925300,-0.11404516,-1.2376638,0.0000000
0.18025300,-0.11595597,-1.2444300,0.0000000
0.18125300,-0.11788777,-1.2511923,0.0000000
0.18225300,-0.11984065,-1.2579507,0.0000000
0.18325300,-0.12181473,-1.2647052,0.0000000
0.18425300,-0.12381011,-1.2714555,0.0000000
0.18525300,-0.12582689,-1.2782018,0.0000000
0.18625300,-0.12786518,-1.2849439,0.0000000
0.18725300,-0.12992508,-1.2916818,0.0000000
0.18825300,-0.13200669,-1.2984154,0.0000000
0.18925300,-0.13411012,-1.3051445,0.0000000
0.19025300,-0.13623548,-1.3118693,0.0000000
0.19125300,-0.13838285,-1.3185895,0.0000000
0.19225300,-0.14055236,-1.3253051,0.0000000
0.19325300,-0.14274408,-1.3320161,0.0000000
0.19425300,-0.14495814,-1.3387223,0.0000000
0.19525300,-0.14719462,-1.3454237,0.0000000
0.19625300,-0.14945363,-1.3521203,0.0000000
0.19725300,-0.15173528,-1.3588119,0.0000000
0.19825300,-0.15403965,-1.3654984,0.0000000
0.19925300,-0.15636684,-1.3721799,0.0000000
0.20025300,-0.15871697,-1.3788562,0.0000000
0.20125300,-0.16109012,-1.3855273,0.0000000
0.20225300,-0.16348640,-1.3921930,0.0000000
0.20325300,-0.16590589,-1.3988533,0.0000000
0.20425300,-0.16834871,-1.4055081,0.0000000
0.20525300,-0.17081494,-1.4121574,0.0000000
0.20625300,-0.17330468,-1.4188010,0.0000000
0.20725300,-0.17581803,-1.4254389,0.0000000
0.20825300,-0.17835509,-1.4320709,0.0000000
0.20925300,-0.18091594,-1.4386971,0.0000000
0.21025300,-0.18350069,-1.4453173,0.0000000
0.21125300,-0.18610942,-1.4519315,0.0000000
0.21225300,-0.18874224,-1.4585395,0.0000000
0.21325300,-0.19139923,-1.4651413,0.0000000
0.21425300,-0.19408049,-1.4717367,0.0000000
0.21525300,-0.19678611,-1.4783258,0.0000000
0.21625300,-0.19951617,-1.4849084,0.0000000
0.21725300,-0.20227079,-1.4914844,0.0000000
0.21825300,-0.20505003,-1.4980537,0.0000000
0.21925300,-0.20785400,-1.5046163,0.0000000
0.22025300,-0.21068279,-1.5111720,0.0000000
0.22125300,-0.21353647,-1.5177208,0.0000000
0.22225300,-0.21641515,-1.5242626,0.0000000
0.22325300,-0.21931891,-1.5307972,0.0000000
0.22425300,-0.22224784,-1.5373246,0.0000000
0.22525300,-0.22520202,-1.5438448,0.0000000
0.22625300,-0.22818154,-1.5503575,0.0000000
0.22725300,-0.23118649,-1.5568627,0.0000000
0.22825300,-0.23421695,-1.5633603,0.0000000
0.22925300,-0.23727300,-1.5698503,0.0000000
0.23025300,-0.24035474,-1.5763324,0.0000000
0.23125300,-0.24346225,-1.5828067,0.0000000
0.23225300,-0.24659560,-1.5892729,0.0000000
0.23325300,-0.24975488,-1.5957311,0.0000000
0.23425300,-0.25294018,-1.6021811,0.0000000
0.23525300,-0.25615157,-1.6086228,0.0000000
0.23625300,-0.25938913,-1.6150561,0.0000000
0.23725300,-0.26265295,-1.6214809,0.0000000
0.23825300,-0.26594310,-1.6278971,0.0000000
0.23925300,-0.26925966,-1.6343046,0.0000000
0.24025300,-0.27260271,-1.6407033,0.0000000
0.24125300,-0.27597233,-1.6470931,0.0000000
0.24225300,-0.27936859,-1.6534738,0.0000000
0.24325300,-0.28279157,-1.6598454,0.0000000
0.24425300,-0.28624135,-1.6662078,0.0000000
0.24525300,-0.28971800,-1.6725609,0.0000000
0.24625300,-0.29322159,-1.6789045,0.0000000
0.24725300,-0.29675219,-1.6852385,0.0000000
0.24825300,-0.30030989,-1.6915628,0.0000000
0.24925300,-0.30389475,-1.6978774,0.0000000
0.25025300,-0.30750683,-1.7041820,0.0000000
0.25125300,-0.31114622,-1.7104766,0.0000000
0.25225300,-0.31481298,-1.7167611,0.0000000
0.25325300,-0.31850719,-1.7230354,0.0000000
0.25425300,-0.32222889,-1.7292993,0.0000000
0.25525300,-0.32597818,-1.7355527,0.0000000
0.25625300,-0.32975511,-1.7417955,0.0000000
0.25725300,-0.33355974,-1.7480276,0.0000000
0.25825300,-0.33739215,-1.7542489,0.0000000
0.25925300,-0.34125239,-1.7604592,0.0000000
0.26025300,-0.34514053,-1.7666584,0.0000000
0.26125300,-0.34905663,-1.7728465,0.0000000
0.26225300,-0.35300076,-1.7790232,0.0000000
0.26325300,-0.35697297,-1.7851886,0.0000000
0.26425300,-0.36097333,-1.7913423,0.0000000
0.26525300,-0.36500189,-1.7974844,0.0000000
0.26625300,-0.36905871,-1.8036147,0.0000000
0.26725300,-0.37314385,-1.8097330,0.0000000
0.26825300,-0.37725736,-1.8158393,0.0000000
0.26925300,-0.38139931,-1.8219334,0.0000000
0.27025300,-0.38556974,-1.8280151,0.0000000
0.27125300,-0.38976871,-1.8340845,0.0000000
0.27225300,-0.39399627,-1.8401413,0.0000000
0.27325300,-0.39825248,-1.8461853,0.0000000
0.27425300,-0.40253738,-1.8522166,0.0000000
0.27525300,-0.40685103,-1.8582349,0.0000000
0.27625300,-0.41119347,-1.8642401,0.0000000
0.27725300,-0.41556476,-1.8702321,0.0000000
0.27825300,-0.41996493,-1.8762107,0.0000000
0.27925300,-0.42439404,-1.8821759,0.0000000
0.28025300,-0.42885213,-1.8881274,0.0000000
0.28125300,-0.43333925,-1.8940652,0.0000000
0.28225300,-0.43785544,-1.8999890,0.0000000
0.28325300,-0.44240074,-1.9058989,0.0000000
0.28425300,-0.44697520,-1.9117945,0.0000000
0.28525300,-0.45157884,-1.9176759,0.0000000
0.28625300,-0.45621172,-1.9235429,0.0000000
0.28725300,-0.46087387,-1.9293952,0.0000000
0.28825300,-0.46556533,-1.9352329,0.0000000
0.28925300,-0.47028614,-1.9410556,0.0000000
0.29025300,-0.47503632,-1.9468634,0.0000000
0.29125300,-0.47981592,-1.9526560,0.0000000
0.29225300,-0.48462496,-1.9584334,0.0000000
0.29325300,-0.48946349,-1.9641953,0.0000000
0.29425300,-0.49433152,-1.9699417,0.0000000
0.29525300,-0.49922910,-1.9756723,0.0000000
0.29625300,-0.50415624,-1.9813871,0.0000000
0.29725300,-0.50911297,-1.9870858,0.0000000
0.29825300,-0.51409933,-1.9927685,0.0000000
0.29925300,-0.51911534,-1.9984348,0.0000000
0.30025300,-0.52416102,-2.0040847,0.0000000
0.30125300,-0.52923639,-2.0097180,0.0000000
0.30225300,-0.53434148,-2.0153345,0.0000000
0.30325300,-0.53947631,-2.0209342,0.0000000
0.30425300,-0.54464090,-2.0265168,0.0000000
0.30525300,-0.54983525,-2.0320822,0.0000000
0.30625300,-0.55505941,-2.0376303,0.0000000
0.30725300,-0.56031337,-2.0431610,0.0000000
0.30825300,-0.56559715,-2.0486739,0.0000000
0.30925300,-0.57091077,-2.0541691,0.0000000
